id_produto;produto;departamento;tipo_produto; custo_produto ; preco_produto 
6811365429;Patch Emborrachado Bandeira do Brasil;Patch;Emborrachado; 3,85 ; 14,90 
6811360057;Patch Bordado Soutache Personalizado Tipo Sanguineo;Patch;Bordado; 1,60 ; 9,99 
6811354872;Patch Bordado Brazilian Veteran | Veterano brasileiro;Patch;Bordado; 1,60 ; 9,99 
6811361300;Patch bordado MAD MAX - I Witness Me;Patch;bordado; 1,60 ; 9,99 
6811358769;Patch Bordado Stars (Resident Evil);Patch;Bordado; 1,60 ; 9,99 
6811362158;Patch Bordado Wolf Witcher Gerald;Patch;Bordado; 1,60 ; 9,99 
6934874306;Patch Bordado Jolly Roger Seals  - Bandeira Pirata;Patch;Bordado; 1,60 ; 9,99 
6811359526;Patch Bordado Cartel Santa Blanca;Patch;Bordado; 1,60 ; 9,99 
6811360057;Patch Bordado Soutache Personalizado Tipo Sanguineo;Patch;Bordado; 1,60 ; 9,99 
6811359265;Patch bordado Bandeira Japao;Patch;bordado; 1,60 ; 9,99 
6811356887;Patch Bordado Bandeira de Maranhao;Patch;Bordado; 1,60 ; 9,99 
6811364861;Patch Emborrachado Tipo Sanguineo Preto;Patch;Emborrachado; 3,85 ; 14,90 
6811356928;Patch Bordado Bandeira Do Brasil Tática;Patch;Bordado; 1,60 ; 9,99 
6811356166;Patch Bordado Divisas Verde (Cada Unidade);Patch;Bordado; 1,60 ; 9,99 
6811357561;Patch Bordado Star Wars - REBEL SCUM;Patch;Bordado; 1,60 ; 9,99 
6811361488;Patch Bordado Star Wars - Rebel Alliance;Patch;Bordado; 1,60 ; 9,99 
6811360315;Patch Bordado Bounty Hunters Star Wars;Patch;Bordado; 1,60 ; 9,99 
6811359483;Patch Bordado Bode - Ovino de Jaco - Goat;Patch;Bordado; 1,60 ; 9,99 
6811364915;Patch Emborrachado Cruz Vermelha - Medico;Patch;Emborrachado; 3,85 ; 14,90 
6811353967;Patch Bordado CS-GO;Patch;Bordado; 1,60 ; 9,99 
6811365543;Patch Bordados Hannya;Patch;Bordado; 1,60 ; 9,99 
6811364959;Patch Emborrachado Maconaria Discreto;Patch;Emborrachado; 3,85 ; 14,90 
6811356928;Patch Bordado Bandeira Do Brasil Tática;Patch;Bordado; 1,60 ; 9,99 
6811356928;Patch Bordado Bandeira Do Brasil Tática;Patch;Bordado; 1,60 ; 9,99 
6811359378;Patch Bordado Jogue Mais Chore Menos;Patch;Bordado; 1,60 ; 9,99 
6811364861;Patch Emborrachado Tipo Sanguineo Preto;Patch;Emborrachado; 3,85 ; 14,90 
6811358769;Patch Bordado Stars (Resident Evil);Patch;Bordado; 1,60 ; 9,99 
6811356778;Patch Bordado (Manicaca) Assault;Patch;Bordado; 1,60 ; 9,99 
